"TERYT","POPULACJA","YEAR","APPROX_PERCENTAGE"
"020101",40119,2005,0.606523955147808
"020101",40119,2005,0.393476044852192
"020102",13714,2005,0.478858350951373
"020102",13714,2005,0.521141649048627
"020103",5491,2005,0.544733044733045
"020103",5491,2005,0.455266955266956
"020104",15287,2005,0.410363694882524
"020104",15287,2005,0.589636305117476
"020105",7547,2005,0.502844950213371
"020105",7547,2005,0.497155049786628
"020106",8370,2005,0.545355191256831
"020106",8370,2005,0.454644808743169
"020201",31583,2005,0.562637362637363
"020201",31583,2005,0.437362637362637
"020202",34838,2005,0.527560487538657
"020202",34838,2005,0.472439512461343
"020203",9688,2005,0.474309815950921
"020203",9688,2005,0.525690184049079
"020204",6776,2005,0.493341404358353
"020204",6776,2005,0.506658595641647
"020205",9413,2005,0.419027632039174
"020205",9413,2005,0.580972367960826
"020206",7596,2005,0.404460212873796
"020206",7596,2005,0.595539787126204
"020207",5868,2005,0.458614347026364
"020207",5868,2005,0.541385652973636
"020301",69259,2005,0.505899503439477
"020301",69259,2005,0.494100496560523
"020302",6363,2005,0.432291666666666
"020302",6363,2005,0.567708333333334
"020303",4319,2005,0.516339869281045
"020303",4319,2005,0.483660130718955
"020304",4341,2005,0.424145299145299
"020304",4341,2005,0.575854700854701
"020305",2359,2005,0.446886446886446
"020305",2359,2005,0.553113553113554
"020306",3608,2005,0.336054421768707
"020306",3608,2005,0.663945578231293
"020401",20855,2005,0.450842146494321
"020401",20855,2005,0.549157853505679
"020402",3180,2005,0.342812006319116
"020402",3180,2005,0.657187993680884
"020403",5175,2005,0.320413436692507
"020403",5175,2005,0.679586563307493
"020404",7520,2005,0.437862202189311
"020404",7520,2005,0.562137797810689
"020501",24240,2005,0.408925441553188
"020501",24240,2005,0.591074558446812
"020502",11085,2005,0.50189720593308
"020502",11085,2005,0.49810279406692
"020503",4955,2005,0.31062124248497
"020503",4955,2005,0.68937875751503
"020504",4198,2005,0.438640132669984
"020504",4198,2005,0.561359867330017
"020505",4019,2005,0.331088664421998
"020505",4019,2005,0.668911335578002
"020506",4106,2005,0.411971830985916
"020506",4106,2005,0.588028169014084
"020601",4999,2005,0.664087685364282
"020601",4999,2005,0.335912314635718
"020602",11735,2005,0.564044943820226
"020602",11735,2005,0.435955056179774
"020603",6552,2005,0.512374934175882
"020603",6552,2005,0.487625065824118
"020604",6956,2005,0.599092970521542
"020604",6956,2005,0.400907029478458
"020605",4309,2005,0.569049951028404
"020605",4309,2005,0.430950048971596
"020606",6866,2005,0.547297297297297
"020606",6866,2005,0.452702702702703
"020607",10193,2005,0.570848708487083
"020607",10193,2005,0.429151291512917
"020608",8156,2005,0.557663504742885
"020608",8156,2005,0.442336495257115
"020609",5371,2005,0.548581255374033
"020609",5371,2005,0.451418744625967
"020701",20553,2005,0.499232474842231
"020701",20553,2005,0.500767525157769
"020702",9006,2005,0.436043747028055
"020702",9006,2005,0.563956252971945
"020703",11560,2005,0.490075784915193
"020703",11560,2005,0.509924215084807
"020704",4716,2005,0.449378330373002
"020704",4716,2005,0.550621669626998
"020801",4995,2005,0.636806825106643
"020801",4995,2005,0.363193174893357
"020802",28581,2005,0.589245553056635
"020802",28581,2005,0.410754446943365
"020803",10379,2005,0.536056158264199
"020803",10379,2005,0.463943841735801
"020804",23761,2005,0.587185354691076
"020804",23761,2005,0.412814645308924
"020805",6771,2005,0.504043126684637
"020805",6771,2005,0.495956873315363
